,Title,Year,Source,Authors,Class,topic
487,Hierarchical Cross-Modality Semantic Correlation Learning Model for Multimodal Summarization,2022,AAAI,"Litian Zhang, Junshu Pan, Xiaoming Zhang, Feiran Huang",MAIN TRACK,multimodal
488,BM-NAS: Bilevel Multimodal Neural Architecture Search,2022,AAAI,"Yihang Yin, Siyu Huang, Xiang Zhang",MAIN TRACK,multimodal
489,A Repetitive Spectrum Learning Framework for Monaural Speech Enhancement in Extremely Low SNR Environments (Student Abstract),2022,AAAI,文鑫 台,STUDENT ABSTRACT AND POSTER PROGRAM,zero_few-shot
490,Hyperverlet: A Symplectic Hypersolver for Hamiltonian Systems,2022,AAAI,"Frederik Baymler Mathiesen, Bin Yang, Jilin Hu",MAIN TRACK,
491,Visual Semantics Allow for Textual Reasoning Better in Scene Text Recognition,2022,AAAI,"Yue He, Chen Chen, Jing Zhang, Juhua Liu, Fengxiang He, Chaoyue Wang, Bo Du",MAIN TRACK,zero_few-shot
492,6DCNN with Roto-Translational Convolution Filters for Volumetric Data Processing,2022,AAAI,"Dmitrii Zhemchuzhnikov, Ilia Igashov, Sergei Grudinin",MAIN TRACK,metric
493,CrowdFL: A Marketplace for Crowdsourced Federated Learning,2022,AAAI,"Daifei Feng, Cicilia Helena, Wei Yang Bryan Lim, Jer Shyuan Ng, Hongchao Jiang, Zehui Xiong, Jiawen Kang, Han Yu, Dusit Niyato, Chunyan Miao",DEMONSTRATIONS,federated learning
494,Manipulating SHAP via Adversarial Data Perturbations (Student Abstract),2022,AAAI,"Hubert Baniecki, Przemyslaw Biecek",STUDENT ABSTRACT AND POSTER PROGRAM,
495,Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,2022,AAAI,"Chuanxin Tang, Yucheng Zhao, Guangting Wang, Chong Luo, Wenxuan Xie, Wenjun Zeng",MAIN TRACK,transformer/sparse
496,Grad-Align: Gradual Network Alignment via Graph Neural Networks (Student Abstract),2022,AAAI,"Jin-Duk Park, Cong Tran, Won-Yong Shin, Xin Cao",STUDENT ABSTRACT AND POSTER PROGRAM,graph
497,Optimal Sampling Gaps for Adaptive Submodular Maximization,2022,AAAI,"Shaojie Tang, Jing Yuan",MAIN TRACK,adaptive
498,TransZero: Attribute-Guided Transformer for Zero-Shot Learning,2022,AAAI,"Shiming Chen, Ziming Hong, Yang Liu, Guo-Sen Xie, Baigui Sun, Hao Li, Qinmu Peng, Xinge YOU, Ke Lu",MAIN TRACK,zero_few-shot/transformer
499,Modeling Constraints Can Identify Winning Arguments in Multi-Party Interactions (Student Abstract),2022,AAAI,"Suzanna Sia, Kokil Jaidka, Niyati Chhaya, Kevin Duh",STUDENT ABSTRACT AND POSTER PROGRAM,optimization
500,Self-Supervised Representation Learning Framework for Remote Physiological Measurement Using Spatiotemporal Augmentation Loss,2022,AAAI,"Hao Wang, Euijoon Ahn, Jinman Kim",MAIN TRACK,zero_few-shot/representation/augmentation
501,Context-Aware Health Event Prediction via Transition Functions on Dynamic Disease Graphs,2022,AAAI,"Chang Lu, Tian Han, Yue Ning",MAIN TRACK,graph
502,FCA: Learning a 3D Full-Coverage Vehicle Camouflage for Multi-View Physical Adversarial Attack,2022,AAAI,"Donghua Wang, Tingsong Jiang, Jialiang Sun, Weien Zhou, Zhiqiang Gong, Xiaoya Zhang, Wen Yao, Xiaoqian Chen",MAIN TRACK,multi-view
503,GuidedMix-Net: Semi-Supervised Semantic Segmentation by Using Labeled Images as Reference,2022,AAAI,"Peng Tu*, Yawen Huang, Feng Zheng, Zhenyu He, Liujuan Cao, Ling Shao",MAIN TRACK,segmentation
504,Learning from Label Proportions with Prototypical Contrastive Clustering,2022,AAAI,"Laura Elena Cue la Rosa, Dario Augusto Borges Oliveira",MAIN TRACK,contrastive learning
505,A Causal Debiasing Framework for Unsupervised Salient Object Detection,2022,AAAI,"Xiangru Lin, Ziyi Wu, Guanqi Chen, Guanbin Li, Yizhou Yu",MAIN TRACK,
506,A Simplified Benchmark for Ambiguous Explanations of Knowledge Graph Link Prediction Using Relational Graph Convolutional Networks (Student Abstract),2022,AAAI,"Nicholas Halliwell, Fabien Gandon, Freddy Lecue",STUDENT ABSTRACT AND POSTER PROGRAM,graph
507,Mutual Contrastive Learning for Visual Representation Learning,2022,AAAI,"Chuanguang Yang, Zhulin An, linhang cai, yongjun xu",MAIN TRACK,representation/contrastive learning
508,Weighted Fairness Notions for Indivisible Items Revisited,2022,AAAI,"Mithun Chakraborty, Erel Segal-Halevi, Warut Suksompong",MAIN TRACK,
509,Prior-Guided Transfer Learning for Enhancing Item Representation in E-commerce,2022,AAAI,"Heng-Yi Li, Yabo Ni, Anxiang Zeng, Han Yu, Chunyan Miao",MAIN TRACK,representation/transfer learning
