Title,Year,Source,Authors,Class
Capsule Graph Neural Network for Multi-Label Image Recognition (Student Abstract),2022,AAAI,"Xiangping Zheng, Xun Liang, Bo Wu",STUDENT ABSTRACT AND POSTER PROGRAM
Modify Self-Attention via Skeleton Decomposition for Effective Point Cloud Transformer,2022,AAAI,"Jiayi Han, Longbin Zeng, Liang Du, Xiaoqing Ye, Weiyang Ding, Jianfeng Feng",MAIN TRACK
Unsupervised Temporal Video Grounding with Deep Semantic Clustering,2022,AAAI,"Daizong Liu, Xiaoye Qu, Yinzhen Wang, Xing Di, Kai Zou, Yu Cheng, Zichuan Xu, Pan Zhou",MAIN TRACK
AsyncFL: Asynchronous Federated Learning Using Majority Voting with Quantized Model Updates (Student Abstract),2022,AAAI,"Suji Jang, Hyuk Lim",STUDENT ABSTRACT AND POSTER PROGRAM
Diaformer: Automatic Diagnosis via Symptoms Sequence Generation,2022,AAAI,"Junying Chen, Dongfang Li, Qingcai Chen, Wenxiu Zhou, Xin Liu",MAIN TRACK
Silence or Outbreak – a Real-Time Emergent Topic Identification System (RealTIS) for Social Media,2022,AAAI,"Ning Lu, Zhen Yang, Jian Huang, Yaxi Wu, Hesong Wang",DEMONSTRATIONS
MuMu: Cooperative Multitask Learning-Based Guided Multimodal Fusion,2022,AAAI,"Md Mofijul Islam, Tariq Iqbal",MAIN TRACK
Hierarchical Multi-Supervision Multi-Interaction Graph Attention Network for Multi-Camera Pedestrian Trajectory Prediction,2022,AAAI,"Guoliang Zhao, Yuxun Zhou, Zhanbo Xu, Yadong Zhou, Jiang Wu",MAIN TRACK
Efficient Vertex-Oriented Polytopic Projection for Web-Scale Applications,2022,AAAI,"Rohan Ramanath, S. Sathiya Keerthi, Yao Pan, Konstantin Salomatin, Kinjal Basu",MAIN TRACK
Real-Time Driver-Request Assignment in Ridesourcing,2022,AAAI,"Hao Wang, Xiaohui Bei",MAIN TRACK
Adversarial Robustness in Multi-Task Learning: Promises and Illusions,2022,AAAI,"Salah Ghamizi, Maxime Cordy, Mike Papadakis, Yves Le Traon",MAIN TRACK
"Finding Nontrivial Minimum Fixed Points in Discrete Dynamical Systems: Complexity, Special Case Algorithms and Heuristics",2022,AAAI,"Zirou Qiu, Chen Chen, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard E. Stearns, Anil Vullikanti",MAIN TRACK
Self-Supervised Audio-and-Text Pre-Training with Extremely Low-Resource Parallel Data,2022,AAAI,"Yu Kang, Tianqiao Liu, Hang Li, Yang Hao, Wenbiao Ding",MAIN TRACK
(2.5+1)D Spatio-Temporal Scene Graphs for Video Question Answering,2022,AAAI,"Anoop Cherian, Chiori Hori, Tim K. Marks, Jonathan Le Roux",MAIN TRACK
Large-Neighbourhood Search for Optimisation in Answer-Set Solving,2022,AAAI,"Thomas Eiter, Tobias Geibinger, Nelson Higuera Ruiz, Nysret Musliu, Johannes Oetsch, Daria Stepanova",MAIN TRACK
Longitudinal Fairness with Censorship,2022,AAAI,"Wenbin Zhang, Jeremy C Weiss",AI FOR SOCIAL IMPACT TRACK
Formal Semantics and Formally Verified Validation for Temporal Planning,2022,AAAI,"Mohammad Abdulaziz, Lukas Koller",MAIN TRACK
MobileFaceSwap: A Lightweight Framework for Video Face Swapping,2022,AAAI,"Zhiliang Xu, Zhibin Hong, Changxing Ding, Zhen Zhu, Junyu Han, jingtuo liu, Errui Ding",MAIN TRACK
Fast and Data Efficient Reinforcement Learning from Pixels via Non-Parametric Value Approximation,2022,AAAI,"Alexander Long, Alan Blair, Herke van Hoof",MAIN TRACK
TrustAL: Trustworthy Active Learning Using Knowledge Distillation,2022,AAAI,"Beong-Woo Kwak, Youngwook Kim, Yu Jin Kim, Seung-Won Hwang, Jinyoung Yeo",MAIN TRACK
I AM A.I. Gradient Descent – an Open-Source Digital Game for Inquiry-Based CLIL Learning,2022,AAAI,"Carina Geldhauser, Andreas Daniel Matt, Christian Stussak",SENIOR MEMBER PRESENTATION TRACK - BLUE SKY
Intra-Inter Subject Self-Supervised Learning for Multivariate Cardiac Signals,2022,AAAI,"Xiang Lan, Dianwen Ng, Shenda Hong, Mengling Feng",MAIN TRACK
Constraint-Driven Explanations for Black-Box ML Models,2022,AAAI,"Aditya A. Shrotri, Nina Narodytska, Alexey Ignatiev, Kuldeep S. Meel, Joao Marques-Silva, Moshe Y. Vardi",MAIN TRACK
DeformRS: Certifying Input Deformations with Randomized Smoothing,2022,AAAI,"Motasem Alfarra, Adel Bibi, Naeemullah Khan, Philip H. S. Torr, Bernard Ghanem",MAIN TRACK
Learning to Ask for Data-Efficient Event Argument Extraction (Student Abstract),2022,AAAI,"Hongbin Ye, Ningyu Zhang, Zhen Bi, Shumin Deng, Chuanqi Tan, Hui Chen, Fei Huang, Huajun Chen",STUDENT ABSTRACT AND POSTER PROGRAM
LCTR: On Awakening the Local Continuity of Transformer for Weakly Supervised Object Localization,2022,AAAI,"Zhiwei Chen, Changan Wang, Yabiao Wang, Guannan Jiang, Yunhang Shen, Ying Tai, Chengjie Wang, Wei Zhang, Liujuan Cao",MAIN TRACK
Memory-Guided Semantic Learning Network for Temporal Sentence Grounding,2022,AAAI,"Daizong Liu, Xiaoye Qu, Xing Di, Yu Cheng, Zichuan Xu, Pan Zhou",MAIN TRACK
3912,2022,AAAI,Selecting Optimal Context Sentences for Event-Event Relation Extraction,MAIN TRACK
Rethinking Pseudo Labels for Semi-Supervised Object Detection,2022,AAAI,"Hengduo Li, Zuxuan Wu, Abhinav Shrivastava, Larry S. Davis",MAIN TRACK
End-to-End Probabilistic Label-Specific Feature Learning for Multi-Label Classification,2022,AAAI,"Jun-Yi Hang, Min-Ling Zhang, Yanghe Feng, Xiaocheng Song",MAIN TRACK
Context-Based Contrastive Learning for Scene Text Recognition,2022,AAAI,"Xinyun Zhang, Binwu Zhu, Xufeng Yao, Qi Sun, Ruiyu Li, Bei Yu",MAIN TRACK
A Model for the Prediction of Lifetime Profit Estimate of Dairy Cattle (Student Abstract),2022,AAAI,"Vahid Naghashi, Abdoulaye Baniré Diallo",STUDENT ABSTRACT AND POSTER PROGRAM
LAGConv: Local-Context Adaptive Convolution Kernels with Global Harmonic Bias for Pansharpening,2022,AAAI,"Zi-Rong Jin, Tian-Jing Zhang, Tai-Xiang Jiang, Gemine Vivone, Liang-Jian Deng",MAIN TRACK
Perceiving Stroke-Semantic Context: Hierarchical Contrastive Learning for Robust Scene Text Recognition,2022,AAAI,"Hao Liu, Bin Wang, zhimin Bao, Mobai Xue, Sheng Kang, Deqiang Jiang, Yinsong Liu, Bo Ren",MAIN TRACK
Incentivizing Collaboration in Machine Learning via Synthetic Data Rewards,2022,AAAI,"Sebastian Shenghong Tay, Xinyi Xu, Chuan Sheng Foo, Bryan Kian Hsiang Low",MAIN TRACK
